,Company_name,Description,Price
70,Bvlgari,"Serpenti Seduttori Reference 103141, a stainless steel quartz wristwatch with bracelet","4,000 USD"
71,Rolex,Rolex President Day-Date Myriad (Reference 118238). A yellow gold diamond-set automatic wristwatch with date and day. 2007-2008,"27,000 USD"
72,Rolex,Rolex President Day-Date (Reference 18388). A yellow gold diamond-set automatic wristwatch with day and date. 1989-1990,"29,500 USD"
73,Rolex,Rolex President Day-Date (Reference 18238). A yellow gold automatic wristwatch with day and date. 1993-1994,"21,300 USD"
74,Cartier,Cartier Skeleton Horloge Santos (Reference WHSA0019). A yellow gold and stainless steel manual wind wristwatch.,"25,800 USD"
75,Cartier,Cartier Tank Francaise (Reference WE10456H). A rose gold diamond-set quartz wristwatch. 2005,"21,800 USD"
76,Patek Philippe,Patek Philippe Neptune (Reference 5081/1J-001). A yellow gold automatic wristwatch with date.,"30,500 USD"
77,Audemars Piguet,Audemars Piguet Royal Oak (Reference 26315ST.OO.1256ST.01). A stainless steel automatic wristwatch with date and chronograph.,"58,100 USD"
78,Audemars Piguet,Audemars Piguet Royal Oak (Reference 26300ST.OO.1110ST.08). A stainless steel automatic wristwatch with date and chronograph.,"40,100 USD"
79,Vacheron Constantin,Vacheron Constantin Overseas World Time (Reference 7700V/110A-B129). A stainless steel automatic wristwatch.,"28,900 USD"
80,Rolex,Rolex Day-Date (Reference 228345RBR). A everose gold diamond-set wristwatch with bracelet. circa 2018,"99,100 USD"
81,Rolex,Rolex President Day-Date (Reference 118348). A yellow gold green enamel diamond-set automatic wristwatch with date and day.,"58,100 USD"
82,Omega,Omega Speedmaster Professional Snoopy MoonWatch (Reference 3578.51.00). A stainless steel manual wristwatch with chronograph. 2004,"21,300 USD"
83,Rolex,"Rolex Sky-Dweller (Reference 326934). A stainless steel automatic wristwatch with date, dual time zones and annual calendar. 2019","20,200 USD"
84,Rolex,"Rolex Submariner Kermit Green Bezel (Reference 16610LV). A stainless steel, green-dial automatic wristwatch with date. 2003-2004","24,900 USD"
85,Rolex,Rolex Day-Date (Reference 228239). A white gold automatic wristwatch with date and day. 2016,"43,800 USD"
86,IWC,IWC Da Vinci Tourbillon Retrograde (Reference IW393101). A rose gold automatic wristwatch with date and flyback chronograph.,"64,400 USD"
87,Patek Philippe,Patek Philippe Calatrava Hunter Case (Reference 5227). A yellow gold automatic wristwatch with date.,"30,500 USD"
88,Cartier,Cartier Santos (Reference WJSA0007). A rose gold automatic wristwatch. 2019,"21,300 USD"
89,Patek Philippe,Patek Philippe Nautilus (Reference 7010R-012). A rose gold diamond-set quartz wristwatch with date.,"45,000 USD"
90,Rolex,Rolex President Day-Date (Reference 118138). A yellow gold diamond- and ruby-set automatic wristwatch with day and date. 2017,"32,300 USD"
91,Audemars Piguet,Audemars Piguet Royal Oak Offshore (Reference 26420SO.OO.A600CA.01). A stainless steel automatic wristwatch with date and chronograph.,"45,000 USD"
92,Rolex,Rolex Pearlmaster (Reference 86349). A white gold diamond-set sapphire bezel with date. 2022,"76,500 USD"
93,Vacheron Constantin,Vacheron Constantin Overseas (Reference 4500V/110A-B128). A stainless steel automatic wristwatch with date. 2019,"28,700 USD"
94,Rolex,Rolex President Day-Date (Reference 118209). A white gold automatic wristwatch with day and date. 2001-2002,"21,300 USD"
95,Vacheron Constantin,Vacheron Constantin Overseas (Reference 49150/B01A-9095). A stainless steel automatic wristwatch with date and chronograph. 2004-2016,"22,800 USD"
96,Rolex,Rolex President Day-Date (Reference 228206). A platinum automatic wristwatch with day and date.,"59,100 USD"
97,Audemars Piguet,Audemars Piguet Royal Oak (Reference 15451ST.ZZ.1256ST.03). A diamond-set stainless steel automatic wristwatch with date. 2018,"47,400 USD"
98,Rolex,Rolex President Day-Date (Reference 228239). A white gold diamond-set automatic wristwatch with date and day. 2019,"47,900 USD"
99,Rolex,Rolex GMT-Master II Blue Red Pepsi (Reference 126710). A stainless steel automatic wristwatch with date. 2019,"22,400 USD"
100,Patek Philippe,"Patek Philippe Complications (Reference 5035P-026). A platinum automatic wristwatch with day, date, month and annual calendar.","29,200 USD"
101,Patek Philippe,Patek Philippe Complications (Reference 5146). A yellow gold annual calendar and moon phases wristwatch. circa 2005,"33,600 USD"
102,Patek Philippe,Patek Philippe Nautilus (Reference 7011/1R). A rose gold quartz wristwatch with date.,"49,900 USD"
103,Patek Philippe,"Patek Philippe Complications (Reference 5146/1J-010). A yellow gold automatic wristwatch with day, date, month, moonphase, power reserve indicator and annual calendar. 2009","52,700 USD"
104,Rolex,Rolex Datejust (Reference 116243). A yellow gold and stainless steel diamond-set automatic wristwatch with date.,"20,700 USD"
105,Rolex,Rolex Daytona (Reference 116503). A yellow gold and stainless steel diamond-set automatic wristwatch with chronograph. 2017,"24,900 USD"
106,Rolex,Rolex President Datejust (Reference 69158). A yellow gold diamond-set automatic wristwatch with date. 1991-1992,"23,100 USD"
107,Cartier,Cartier Tortue (Reference WA504351). A white gold diamond-set manual wind wristwatch.,"26,800 USD"
108,Cartier,Cartier Ballon Bleu (Reference WE900851). A rose gold diamond-set automatic wristwatch with date. 2022,"25,800 USD"
109,Patek Philippe,Patek Philippe Nautilus (Reference 7010). A white gold and diamond-set bracelet watch with date. circa 2013,"53,300 USD"
110,Vacheron Constantin,"Vacheron Constantin Overseas (Reference 49020/000R-9753). A rose gold automatic wristwatch with date, day, month, chronograph, moonphase, and perpetual calendar. ","64,200 USD"
111,Cartier,Cartier Cle (Reference WFCL0003). A rose gold automatic wristwatch with date.,"24,900 USD"
112,Cartier,Cartier Ballon Bleu (Reference WGBB0042). A rose gold automatic wristwatch.,"21,400 USD"
113,IWC,IWC Portuguese Tourbillon Mystere Retrograde (Reference IW504402). A rose gold automatic wristwatch with date and 7 day power reserve.,"47,400 USD"
114,Audemars Piguet,Audemars Piguet Royal Oak (Reference 26022OR.OO.D088CR.01). A rose gold automatic wristwatch with date and chronograph.,"34,900 USD"
115,Jaeger-LeCoultre,"Jaeger-LeCoultre Duometre Quantieme Lunaire (Reference Q6042521). A rose gold manual wind wristwatch with date, moonphase and power reserve.","25,500 USD"
116,Audemars Piguet,Audemars Piguet Royal Oak (Reference 67650ST). A stainless steel quartz wristwatch with date.,"21,500 USD"
117,Patek Philippe,Patek Philippe Nautilus (Reference 5711G-001). A white gold automatic wristwatch with date. 2009,"94,900 USD"
118,Patek Philippe,"Patek Philippe Annual Calendar (Reference 5036/1G). A white gold automatic wristwatch with date, day, month, moonphase and power reserve.","38,100 USD"
119,Patek Philippe,Patek Philippe World Time (Reference 5230G-001). A white gold automatic wristwatch. 2020,"37,300 USD"
120,A. Lange & Söhne,A. Lange & Söhne Lange 1 Daymatic (Reference 320.032). A rose gold automatic wristwatch with date and day. 2017,"33,900 USD"
121,Rolex,Rolex Daytona (Reference 116505). A rose gold automatic wristwatch. 2019,"50,500 USD"
122,Rolex,"GMT-Master Reference 1675, a stainless steel automatic wristwatch with date, circa 1969","17,515 USD"
123,Patek Philippe,Patek Philippe Calatrava (Reference 4899) Haute Joaillerie. A ladies white gold diamond-set automatic wristwatch.,"81,600 USD"
124,Rolex,Rolex President Datejust (Reference 178279). A white gold automatic wristwatch with date. 2002-2003,"20,400 USD"
125,Piaget,"Piaget Protocole Exceptional (Reference 83541), a white gold diamond- and sapphire-set quartz wristwatch.","33,900 USD"
126,Patek Philippe,Patek Philippe Aquanaut (Reference 5267/200A - 011). An unworn diamond-set stainless steel quartz wristwatch with date. 2023,"52,000 USD"
127,Audemars Piguet,Audemars Piguet Remaster 01 Limited Edition (Reference 26595SR). An unworn rose gold and stainless steel automatic wristwatch with chronograph.,"33,900 USD"
128,Cartier,Cartier Tortue Small (Reference WA501010). A rose gold diamond-set manual wind wristwatch.,"23,900 USD"
129,Audemars Piguet,"Audemars Piguet Royal Oak (Reference 25730BA). An automatic wristwatch with date, dual time and power reserve.","44,900 USD"
130,Patek Philippe,Patek Philippe World Time (Reference 5130R-001). A rose gold automatic wristwatch.,"33,600 USD"
131,Glashütte Original,"Seventies Panorama Date,  reference 39-47-13-12-14 | A stainless steel bracelet wristwatch with panorama date | circa 2010","4,177 USD"
132,Rolex,Rolex Day-Date (Reference 118239). A white gold diamond and emerald-set wristwatch with bracelet. circa 2013,"38,100 USD"
133,A. Lange & Söhne,A. Lange & Söhne Saxonia (Reference 205.086). A white gold wristwatch. circa 2019,"30,500 USD"
134,Patek Philippe,Patek Philippe Calatrava (Reference 5524). A pink gold dual time zone wristwatch. circa 2021,"45,900 USD"
135,Patek Philippe,Patek Philippe Grand Complication (Reference 5496). A platinum perpetual calendar with retrograde date and moon phases wristwatch. circa 2017 ,"76,200 USD"
136,Patek Philippe,Patek Philippe Calatrava (Reference 6007). A white gold wristwatch. circa 2023,"41,200 USD"
137,Patek Philippe,Patek Philippe A yellow gold wristwatch. circa 1961,"12,000 USD"
138,Patek Philippe,"Patek Philippe A limited edition white gold world time wristwatch with moon phases, Made to commemorate the 175th anniversary of Patek Philippe, in double factory seal. circa 2014","121,500 USD"
139,Audemars Piguet,Audemars Piguet A stainless steel bracelet watch with date. circa 2019 ,"36,500 USD"
140,Patek Philippe,"Patek Philippe A limited edition white gold multi-scale chronograph wristwatch, Made to commemorate the 175th anniversary of Patek Philippe in 2014. circa 2014","63,800 USD"
141,Patek Philippe,"Patek Philippe A white gold annual calendar wristwatch with regulator dial, in double factory seal circa 2014","36,500 USD"
142,Richard Mille, Richard Mille. A pink gold and titanium semi-skeletonised wristwatch with dizzy hands. circa 2018,"98,700 USD"
143,Vacheron Constantin,Vacheron Constantin Patrimony (Reference 47200/1). A yellow gold date and power reserve and indication wristwatch. circa 2000,"10,700 USD"
144,IWC,IWC Da Vinci (Reference 3758).  A stainless steel perpetual calendar chronograph moonfaces and leap year indication wristwatch. circa 2006,"10,700 USD"
145,Piaget,Piaget Polo (Reference 24005). A white gold and diamond-set bracelet wristwatch. circa 2005,"15,200 USD"
146,Patek Philippe,Patek Philippe Calatrava (Reference 5196). A White Gold Mechanical Wristwatch. 2021,"23,740 USD"
147,F. P. Journe,F. P. Journe. Quantieme Perpetual Boutique Edition. A platinum calendar wristwatch with power reserve and leap year indication. 2021,"154,450 USD"
148,Omega,Omega Speedmaster (Reference 310.60.42.50.10.001). A yellow gold automatic wristwatch with chronograph. 2022,"38,060 USD"
149,F. P. Journe,F.P. Journe Line Sport Chronographe Rattrapante a pink gold split second chronograph manual wind wristwatch. 2021,"136,770 USD"
150,Rolex,Rolex Cosmograph Daytona (Reference 116518). A yellow gold diamond set automatic wristwatch with chronograph. 2018,"42,400 USD"
151,Rolex,Rolex Cosmograph Daytona (Reference 116519). A white gold automatic wristwatch with chronograph. 2019,"40,600 USD"
152,Rolex,Rolex Cosmograph Daytona Panda (Reference 116523). A yellow gold stainless steel automatic wristwatch with chronograph. 2012,"22,000 USD"
153,Rolex,Rolex Cosmograph Daytona (Reference 116523). A yellow gold stainless steel automatic wristwatch with chronograph. 2014,"19,700 USD"
154,,,
155,,,
156,Rolex,"Rolex Sky-Dweller (Reference 326139). A white gold automatic wristwatch with date, dual time zone and annual calendar.","30,450 USD"
157,Patek Philippe,Patek Philippe Complications (Reference 4968/400r-001). A rose gold ruby and diamond set wristwatch with moon phase. 2016,"50,090 USD"
158,Rolex,Rolex Day-Date (Reference 326139). A white gold diamond set automatic wristwatch with day and date.,"27,350 USD"
159,Franck Muller ,Franck Muller (Reference 1100MP). A platinum manual wind wristwatch with single button chronograph.2012,"6,190 USD"
160,Rolex,Rolex Day-Date (Reference 128293). A white gold diamond set automatic wristwatch with day and date. 2022,"48,650 USD"
161,Patek Philippe,Patek Philippe Complications (Reference 5930G-011). A white gold world time chronograph wristwatch. 2020 ,"125,810 USD"
162,Patek Philippe,"Patek Philippe Annual Calendar (Reference 4937G-001). A white gold diamond set automatic wristwatch with date, day, month, moonphase. 2015","50,090 USD"
163,Rolex,Rolex Datejust (Reference 126284). A stainless steel diamond set automatic wristwatch with date.,"18,500 USD"
164,Rolex,Rolex Sea-Dweller (Reference 126603). A yellow gold stainless steel automatic wristwatch with date. 2021,"18,300 USD"
165,Patek Philippe,Patek Philippe Calatrava (Reference 6007G-011). A white gold automatic wristwatch with date. 2023,"38,450 USD"
166,Rolex,Rolex Sea-Dweller (Reference 136660). A stainless steel automatic wristwatch with date. 2023,"14,900 USD"
167,Rolex,Rolex Datejust Turnograph Green Hand Limited Edition (Reference 116263). A yellow gold stainless steel automatic wristwatch with date. 2010-2011,"16,500 USD"
168,Rolex,Rolex GMT-Master II Pepsi Error Dial (Reference 16710). A stainless steel automatic wristwatch with date. 2006,"16,500 USD"
169,Rolex,Rolex Datejust (Reference 126331). A rose gold stainless steel automatic wristwatch with date.,"15,000 USD"
170,Rolex,Rolex Day-Date (Reference 18239). A white gold automatic wristwatch with day and date. 2000,"30,260 USD"
171,F.P. Journe,"F. P. Journe Octa Divine. A rose gold automatic wristwatch with date, moon phases, and power reserve indication. 2005","100,000 USD"
172,F.P. Journe,"F. P. Journe Black Label Collection - Quantième Perpétuel. A boutique edition platinum automatic wristwatch with date, day, month, and perpetual calendar. 2022 ","194,200 USD"
173,F. P. Journe,F. P. Journe Black Label Collection - Centigraphe Souverain. A boutique limited edition platinum chronograph manual wind wristwatch. 2019,"282,400 USD"
174,A. Lange & Söhne,"A. Lange & Söhne Odysseus (Reference 363.068). A white gold automatic wristwatch with day and date, sealed. 2023","58,190 USD"
175,Rolex,Rolex Datejust (Reference 126331). A rose gold stainless steel diamond set automatic wristwatch with date.,"17,600 USD"
176,Rolex,Rolex Sea-Dweller (Reference 126603). A yellow gold stainless steel automatic wristwatch with date. 2019,"18,300 USD"
177,Rolex,"Rolex Day-Date (Reference 118238). A yellow gold and diamond-set wristwatch with day, date and bracelet. 2001","24,390 USD"
178,Patek Philippe,"Patek Philippe Nautilus (Reference 5726/1A). A stainless steel annual calendar wristwatch with date, day, month, and moon phases.","107,740 USD"
179,Credor,Credor Masterpiece Collection Eichi II (Reference GBLT998). A rose gold manual wind wristwatch with enamel dial and power reserve indication.,"30,000 USD"
180,Patek Philippe,Patek Philippe. A platinum and yellow gold manual wind wristwatch. 1908,"26,190 USD"
181,Rolex,Rolex Sea-Dweller (Reference 116660). A stainless steel automatic wristwatch with date. 2017,"15,300 USD"
182,Rolex,Rolex Datejust (Reference 178384). A white gold stainless steel diamond set automatic wristwatch with date. 2019,"15,200 USD"
183,Rolex,Rolex Datejust (Reference 178341). A rose gold stainless steel diamond set automatic wristwatch with date. 2009-2010,"15,900 USD"
184,Rolex,Rolex Datejust (Reference 279384). A white gold stainless steel diamond set automatic wristwatch with date. ,"15,900 USD"
185,Rolex,Rolex Datejust (Reference 279381). A rose gold stainless steel diamond set automatic wristwatch with date. 2017,"19,500 USD"
186,Rolex,Rolex Datejust (Reference 126284). An unworn stainless steel diamond set automatic wristwatch with date. 2023,"18,300 USD"
187,Rolex,Rolex Datejust (Reference 126333). A yellow gold stainless steel automatic wristwatch with date. 2019,"15,300 USD"
188,Patek Philippe,Patek Philippe Calatrava (Reference 5127G) . A white gold automatic wristwatch with date.,"24,000 USD"
189,Seiko Credor,Credor Masterpiece Collection Eichi II (Reference  GBLT997). A platinum  manual wind wristwatch with blue enamel dial.,"49,160 USD"
190,Rolex,Rolex Pearlmaster (Reference 80299). A white gold diamond set automatic wristwatch with date. 1999-2000,"19,400 USD"
191,Rolex,Rolex Datejust (Reference 278341). A rose gold stainless steel diamond set automatic wristwatch with date. 2020,"16,300 USD"
192,Rolex,Rolex Datejust (Reference 126301). A rose gold stainless steel automatic wristwatch with date. 2019,"15,500 USD"
193,Rolex,Rolex Datejust (Reference 126301). A rose gold stainless steel diamond set automatic wristwatch with date. 2016-2022,"17,200 USD"
194,Rolex,Rolex Submariner Kermit (Reference 16610LV). A stainless steel automatic wristwatch with date. 2003-2004,"18,700 USD"
195,Rolex,Rolex Yacht-Master (Reference 16623). A yellow gold stainless steel automatic wristwatch with date. 2009-2010,"16,800 USD"
196,Rolex,Rolex President Day-Date (Reference 118239). A white gold diamond set automatic wristwatch with day and date. 2000-2001,"22,100 USD"
197,Rolex,Rolex Cosmograph Daytona (Reference 116509). A white gold automatic wristwatch with chronograph. 2020,"42,500 USD"
198,Rolex,Rolex GMT-Master (Reference 16758). A yellow gold automatic wristwatch with date. 1984-1985,"32,600 USD"
199,Rolex,Rolex Yacht-Master (Reference 16628). A yellow gold automatic wristwatch with date. 1995-1996,"24,400 USD"
200,Rolex,Rolex Submariner (Reference 116618). A yellow gold automatic wristwatch with date. 2008-2009,"37,300 USD"
201,Rolex,Rolex Cosmograph Daytona (Reference 116520). A stainless steel automatic wristwatch with chronograph. 2008-2009,"21,000 USD"
202,Rolex,Rolex Submariner Hulk (Reference 116610LV). A stainless steel automatic wristwatch with date. 2016,"20,100 USD"
203,Rolex,Rolex Datejust (Reference 278381). A rose gold stainless steel diamond set automatic wristwatch with date. 2021,"24,100 USD"
204,Rolex,Rolex Datejust (Reference 278384). A white gold diamond set automatic wristwatch with date.,"20,000 USD"
205,Rolex,Rolex Submariner Hulk (Reference 116610LV). A stainless steel automatic wristwatch with date. 2015,"20,300 USD"
206,Rolex,Rolex President Day-Date (Reference 118238). A yellow gold diamond set automatic wristwatch with day and date. 2006-2007,"27,300 USD"
207,Rolex,Rolex Submariner (Reference 16618). A yellow gold automatic wristwatch with date. 2006,"30,500 USD"
208,Rolex,Rolex President Day-Date (Reference 118348). A yellow gold diamond set automatic wristwatch with day and date. 2008-2009,"32,300 USD"
209,Rolex,Rolex President Day-Date (Reference 118389). A white gold diamond set automatic wristwatch with day and date. 2007,"39,400 USD"
210,Rolex,Rolex President Day-Date (Reference 128348). A yellow gold diamond set automatic wristwatch with day and date.,"46,500 USD"
211,Rolex,Rolex President Day-Date (Reference 18238). A yellow gold diamond set automatic wristwatch with day and date. 1995,"21,300 USD"
212,Rolex,Rolex Oyster Perpetual (Reference 114300). A stainless steel automatic wristwatch. 2017,"10,000 USD"
213,Rolex,Rolex Datejust (Reference 116238). A yellow gold diamond set automatic wristwatch with date. 2005-2006,"25,400 USD"
214,Rolex,Rolex Datejust Midsize (Reference 278343). A yellow gold stainless steel diamond set automatic wristwatch with date. 2023,"20,300 USD"
215,Rolex,Rolex President Day-Date (Reference 118205). A rose gold automatic wristatch with day and date. 2007,"27,500 USD"
216,Rolex,"Rolex Sky-Dweller (Reference 326933). A yellow gold stainless steel automatic wristwatch with date, dual time zones, and annual calendar. 2022","22,000 USD"
217,Vacheron Constantin,Vacheron Constantin Patrimony Retrograde (Reference 4000U/000R-B516). A rose gold automatic wristwatch with day and date. 2019,"31,300 USD"
